altitude_m,pressure_pa,temperature_k,molecular_number_density_m3,ozone_number_density_m3,aerosol_extinction_550_m_inv,aerosol_single_scattering_albedo,aerosol_asymmetry,aerosol_scattering_angstrom_exponent,aerosol_absorption_angstrom_exponent
0.0,1.013250e+05,288.150,2.547000e+25,3.443453e+14,1.145500e-04,0.964208,0.752250,0.996356,1.034146
2500.0,7.160114e+04,271.900,1.816803e+25,2.201983e+15,2.176575e-05,0.945102,0.693672,1.423517,1.079756
5000.0,5.059682e+04,255.650,1.295945e+25,1.158272e+16,6.850657e-06,0.939363,0.658962,1.532516,1.156167
7500.0,3.575416e+04,239.400,9.244121e+24,5.011691e+16,3.099912e-06,0.940794,0.638721,1.509692,1.240605
10000.0,2.526561e+04,223.150,6.593933e+24,1.783753e+17,1.804135e-06,0.944467,0.625724,1.506642,1.300030
12500.0,1.785390e+04,216.650,4.703524e+24,5.222302e+17,1.221743e-06,0.949229,0.617080,1.545754,1.329875
15000.0,1.261643e+04,216.650,3.355075e+24,1.257668e+18,9.039063e-07,0.954989,0.610452,1.610606,1.342349
17500.0,8.915378e+03,216.650,2.393212e+24,2.491421e+18,7.105224e-07,0.961561,0.604614,1.686268,1.347158
20000.0,6.300036e+03,216.650,1.707104e+24,4.059803e+18,5.094645e-07,0.963696,0.602320,1.717104,1.348954
22500.0,4.451910e+03,219.150,1.217696e+24,5.441764e+18,3.556424e-07,0.964666,0.600964,1.736216,1.349616
25000.0,3.145934e+03,221.650,8.685961e+23,6.000000e+18,2.490717e-07,0.965680,0.599680,1.755041,1.349859
27500.0,2.223069e+03,224.150,6.195791e+23,5.441764e+18,1.749201e-07,0.966743,0.598442,1.773460,1.349948
30000.0,1.570928e+03,226.650,4.419525e+23,4.059803e+18,1.231596e-07,0.967850,0.597243,1.791384,1.349981
32500.0,1.110094e+03,230.050,3.152496e+23,2.491421e+18,8.692767e-08,0.968995,0.596085,1.808738,1.349993
35000.0,7.844457e+02,237.050,2.248710e+23,1.257668e+18,6.149901e-08,0.970168,0.594970,1.825460,1.349997
37500.0,5.543272e+02,244.050,1.604029e+23,5.222302e+17,4.360734e-08,0.971361,0.593900,1.841498,1.349999
40000.0,3.917144e+02,251.050,1.144172e+23,1.783753e+17,3.098795e-08,0.972566,0.592879,1.856811,1.350000
42500.0,2.768043e+02,258.050,8.161502e+22,5.011691e+16,2.206613e-08,0.973775,0.591909,1.871370,1.350000
45000.0,1.956033e+02,265.050,5.821689e+22,1.158272e+16,1.574407e-08,0.974980,0.590990,1.885157,1.350000
47500.0,1.382227e+02,269.650,4.152674e+22,2.201983e+15,1.125438e-08,0.976174,0.590122,1.898163,1.350000
50000.0,9.767484e+01,264.650,2.962148e+22,3.443453e+14,8.059257e-09,0.977352,0.589308,1.910387,1.350000
52500.0,6.902176e+01,259.650,2.112933e+22,4.429464e+13,5.780867e-09,0.978507,0.588544,1.921838,1.350000
55000.0,4.877411e+01,254.650,1.507178e+22,4.686894e+12,4.153089e-09,0.979635,0.587831,1.932531,1.350000
57500.0,3.446614e+01,249.650,1.075087e+22,4.079396e+11,2.988040e-09,0.980732,0.587168,1.942486,1.350000
60000.0,2.435544e+01,244.650,7.668710e+21,2.920676e+10,2.152762e-09,0.981795,0.586551,1.951728,1.350000
62500.0,1.721073e+01,239.650,5.470175e+21,1.720077e+09,1.552956e-09,0.982821,0.585981,1.960287,1.350000
65000.0,1.216193e+01,234.650,3.901936e+21,8.332766e+07,1.121595e-09,0.983809,0.585454,1.968194,1.350000
67500.0,8.594208e+00,229.650,2.783294e+21,3.320530e+06,8.109414e-10,0.984756,0.584968,1.975482,1.350000
70000.0,6.073082e+00,224.650,1.985354e+21,1.088435e+05,5.869256e-10,0.985663,0.584521,1.982187,1.350000
72500.0,4.291533e+00,219.650,1.416175e+21,2.934772e+03,4.251899e-10,0.986528,0.584110,1.988344,1.350000
75000.0,3.032604e+00,214.650,1.010173e+21,6.509132e+01,3.082883e-10,0.987352,0.583734,1.993988,1.350000
77500.0,2.142985e+00,209.650,7.205673e+20,1.187541e+00,2.237048e-10,0.988135,0.583390,1.999153,1.350000
80000.0,1.514336e+00,204.650,5.139886e+20,1.782178e-02,1.624462e-10,0.988878,0.583075,2.003874,1.350000
82500.0,1.070103e+00,199.650,3.666337e+20,2.200039e-04,1.180412e-10,0.989581,0.582788,2.008183,1.350000
85000.0,7.561866e-01,194.650,2.615238e+20,2.234018e-06,8.582678e-11,0.990246,0.582526,2.012110,1.350000
87500.0,5.343580e-01,189.650,1.865478e+20,1.866035e-08,6.243884e-11,0.990873,0.582288,2.015687,1.350000
90000.0,3.776031e-01,184.650,1.330666e+20,1.282123e-10,4.544736e-11,0.991464,0.582071,2.018941,1.350000
92500.0,2.668326e-01,179.650,9.491786e+19,7.246301e-13,3.309520e-11,0.992021,0.581873,2.021898,1.350000
95000.0,1.885568e-01,174.650,6.770595e+19,3.368837e-15,2.411049e-11,0.992545,0.581694,2.024584,1.350000
97500.0,1.332433e-01,169.650,4.829539e+19,1.288310e-17,1.757177e-11,0.993037,0.581532,2.027021,1.350000
100000.0,9.415618e-02,164.650,3.444963e+19,4.052638e-20,1.281086e-11,0.993498,0.581385,2.029232,1.350000
