wavelength_nm,angle_deg,f11,f12,f22,f33,f34,f44
350,0,2.994789440e+00,-0.000000000e+00,2.994789440e+00,2.994789440e+00,0.000000000e+00,2.994789440e+00
350,5,2.383367780e+00,-9.155874417e-05,2.383367780e+00,2.383367778e+00,0.000000000e+00,2.383367778e+00
350,10,1.463955579e+00,-8.019752627e-04,1.463955579e+00,1.463955360e+00,0.000000000e+00,1.463955360e+00
350,15,8.695008014e-01,-2.009841456e-03,8.695008014e-01,8.694984786e-01,0.000000000e+00,8.694984786e-01
350,20,5.347856129e-01,-3.088472623e-03,5.347856129e-01,5.347766947e-01,0.000000000e+00,5.347766947e-01
350,25,3.444616314e-01,-3.708187142e-03,3.444616314e-01,3.444416712e-01,0.000000000e+00,3.444416712e-01
350,30,2.320963533e-01,-3.895065210e-03,2.320963533e-01,2.320636673e-01,0.000000000e+00,2.320636673e-01
350,35,1.629406194e-01,-3.812959692e-03,1.629406194e-01,1.628959999e-01,0.000000000e+00,1.628959999e-01
350,40,1.186477462e-01,-3.607759123e-03,1.186477462e-01,1.185928824e-01,0.000000000e+00,1.185928824e-01
350,45,8.922969058e-02,-3.364392055e-03,8.922969058e-02,8.916624108e-02,0.000000000e+00,8.916624108e-02
350,50,6.904970986e-02,-3.120354215e-03,6.904970986e-02,6.897916948e-02,0.000000000e+00,6.897916948e-02
350,55,5.480899198e-02,-2.888250842e-03,5.480899198e-02,5.473283849e-02,0.000000000e+00,5.473283849e-02
350,60,4.450893169e-02,-2.670495989e-03,4.450893169e-02,4.442874578e-02,0.000000000e+00,4.442874578e-02
350,65,3.689920370e-02,-2.466124213e-03,3.689920370e-02,3.681670090e-02,0.000000000e+00,3.681670090e-02
350,70,3.117439736e-02,-2.273369222e-03,3.117439736e-02,3.109139500e-02,0.000000000e+00,3.109139500e-02
350,75,2.680179987e-02,-2.090535768e-03,2.680179987e-02,2.672014477e-02,0.000000000e+00,2.672014477e-02
350,80,2.342058088e-02,-1.916275184e-03,2.342058088e-02,2.334205429e-02,0.000000000e+00,2.334205429e-02
350,85,2.078105235e-02,-1.749648825e-03,2.078105235e-02,2.070726602e-02,0.000000000e+00,2.070726602e-02
