wavelength_nm,albedo
350,0.130000
360,0.130889
370,0.131778
380,0.132667
390,0.133556
400,0.134444
410,0.135333
420,0.136222
430,0.137111
440,0.138000
450,0.138889
460,0.139778
470,0.140667
480,0.141556
490,0.142444
500,0.143333
510,0.144222
520,0.145111
530,0.146000
540,0.146889
550,0.147778
560,0.148667
570,0.149556
580,0.150444
590,0.151333
600,0.152222
610,0.153111
620,0.154000
630,0.154889
640,0.155778
650,0.156667
660,0.157556
670,0.158444
680,0.159333
690,0.160222
700,0.161111
710,0.162000
720,0.162889
730,0.163778
740,0.164667
750,0.165556
760,0.166444
770,0.167333
780,0.168222
790,0.169111
800,0.170000
