wavelength_nm,cross_section_m2
350,6.005865e-24
355,4.787186e-24
360,3.816661e-24
365,3.043900e-24
370,2.428765e-24
375,1.939283e-24
380,1.549989e-24
385,1.240601e-24
390,9.949705e-25
395,8.002374e-25
400,6.461644e-25
405,5.246026e-25
410,4.290671e-25
415,3.543980e-25
420,2.964904e-25
425,2.520792e-25
430,2.185674e-25
435,1.938891e-25
440,1.764002e-25
445,1.647912e-25
450,1.580173e-25
455,1.552429e-25
460,1.557969e-25
465,1.591373e-25
470,1.648227e-25
475,1.724895e-25
480,1.818338e-25
485,1.925970e-25
490,2.045544e-25
495,2.175063e-25
500,2.312707e-25
505,2.456781e-25
510,2.605677e-25
515,2.757840e-25
520,2.911751e-25
525,3.065917e-25
530,3.218859e-25
535,3.369119e-25
540,3.515256e-25
545,3.655863e-25
550,3.789569e-25
555,3.915055e-25
560,4.031069e-25
565,4.136438e-25
570,4.230084e-25
575,4.311037e-25
580,4.378450e-25
585,4.431612e-25
590,4.469957e-25
595,4.493070e-25
600,4.500698e-25
605,4.492750e-25
610,4.469301e-25
615,4.430587e-25
620,4.377002e-25
625,4.309090e-25
630,4.227538e-25
635,4.133161e-25
640,4.026891e-25
645,3.909759e-25
650,3.782880e-25
655,3.647434e-25
660,3.504650e-25
665,3.355785e-25
670,3.202107e-25
675,3.044876e-25
680,2.885331e-25
685,2.724669e-25
690,2.564035e-25
695,2.404509e-25
700,2.247091e-25
705,2.092701e-25
710,1.942163e-25
715,1.796207e-25
720,1.655461e-25
725,1.520456e-25
730,1.391620e-25
735,1.269286e-25
740,1.153693e-25
745,1.044993e-25
750,9.432530e-26
755,8.484675e-26
760,7.605614e-26
765,6.793998e-26
770,6.047955e-26
775,5.365173e-26
780,4.742977e-26
785,4.178403e-26
790,3.668273e-26
795,3.209262e-26
800,2.797954e-26
