wavelength_nm,irradiance_w_m2_nm
350,6.198123e-03
355,6.382846e-03
360,6.561351e-03
365,6.733405e-03
370,6.898815e-03
375,7.057423e-03
380,7.209107e-03
385,7.353776e-03
390,7.491369e-03
395,7.621854e-03
400,7.745225e-03
405,7.861497e-03
410,7.970711e-03
415,8.072923e-03
420,8.168211e-03
425,8.256667e-03
430,8.338398e-03
435,8.413522e-03
440,8.482171e-03
445,8.544485e-03
450,8.600612e-03
455,8.650708e-03
460,8.694934e-03
465,8.733457e-03
470,8.766448e-03
475,8.794079e-03
480,8.816526e-03
485,8.833966e-03
490,8.846575e-03
495,8.854530e-03
500,8.858008e-03
505,8.857184e-03
510,8.852232e-03
515,8.843324e-03
520,8.830628e-03
525,8.814312e-03
530,8.794539e-03
535,8.771470e-03
540,8.745261e-03
545,8.716065e-03
550,8.684034e-03
555,8.649312e-03
560,8.612041e-03
565,8.572360e-03
570,8.530401e-03
575,8.486297e-03
580,8.440171e-03
585,8.392145e-03
590,8.342338e-03
595,8.290862e-03
600,8.237828e-03
605,8.183341e-03
610,8.127503e-03
615,8.070411e-03
620,8.012160e-03
625,7.952841e-03
630,7.892539e-03
635,7.831339e-03
640,7.769320e-03
645,7.706559e-03
650,7.643129e-03
655,7.579100e-03
660,7.514540e-03
665,7.449511e-03
670,7.384075e-03
675,7.318290e-03
680,7.252213e-03
685,7.185894e-03
690,7.119386e-03
695,7.052736e-03
700,6.985988e-03
705,6.919187e-03
710,6.852373e-03
715,6.785586e-03
720,6.718861e-03
725,6.652234e-03
730,6.585738e-03
735,6.519403e-03
740,6.453260e-03
745,6.387335e-03
750,6.321655e-03
755,6.256244e-03
760,6.191125e-03
765,6.126320e-03
770,6.061850e-03
775,5.997732e-03
780,5.933985e-03
785,5.870626e-03
790,5.807669e-03
795,5.745129e-03
800,5.683019e-03
