AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Philippe_Goloub; PI Email=philippe.goloub@univ-lille.fr
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
Marseille_ATMO,15:08:2022,05:53:55,227,227.245775,0.076345,0.115604,0.134360,-999.000000,-999.000000,0.178871,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.270888,-999.000000,-999.000000,0.322196,-999.000000,-999.000000,0.389680,0.458880,2.879064,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000397,0.000697,0.000826,-999.000000,-999.000000,0.001381,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001983,-999.000000,-999.000000,0.002261,-999.000000,-999.000000,0.002533,0.003094,0.035147,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.290868,1.323797,1.365528,1.266927,1.359633,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,78.379924,4.854078,21.800000,311.926786,0.235032,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,06:54:55,227,227.288137,0.084858,0.124627,0.146045,-999.000000,-999.000000,0.189349,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.280039,-999.000000,-999.000000,0.326991,-999.000000,-999.000000,0.396239,0.451366,3.017590,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.009320,0.006588,0.009890,-999.000000,-999.000000,0.010701,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.014400,-999.000000,-999.000000,0.012221,-999.000000,-999.000000,0.016127,0.017333,0.108782,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.194447,1.265507,1.271330,1.176967,1.245917,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,67.361288,2.583984,25.700000,311.912133,0.235037,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,08:28:58,227,227.353449,0.058587,0.090723,0.106759,-999.000000,-999.000000,0.135266,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.202612,-999.000000,-999.000000,0.243023,-999.000000,-999.000000,0.303846,0.337971,2.869075,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001554,0.003011,0.001961,-999.000000,-999.000000,0.002636,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000203,-999.000000,-999.000000,0.002478,-999.000000,-999.000000,0.001859,0.001330,0.002075,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.215792,1.477338,1.354010,1.160500,1.284122,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,50.640495,1.574391,32.300000,311.889539,0.235046,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,08:43:59,227,227.363877,0.059221,0.093062,0.111001,-999.000000,-999.000000,0.141801,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.211361,-999.000000,-999.000000,0.254230,-999.000000,-999.000000,0.320676,0.353191,2.832297,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000876,0.002984,0.000939,-999.000000,-999.000000,0.003691,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001928,-999.000000,-999.000000,0.003093,-999.000000,-999.000000,0.006786,0.006912,0.021848,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.221134,1.520176,1.347091,1.165704,1.283419,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,48.106836,1.495568,33.600000,311.885932,0.235047,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,08:52:08,227,227.369537,0.053725,0.087037,0.101450,-999.000000,-999.000000,0.129425,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.189782,-999.000000,-999.000000,0.228191,-999.000000,-999.000000,0.288096,0.319603,2.764421,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000046,0.001958,0.002253,-999.000000,-999.000000,0.002222,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003760,-999.000000,-999.000000,0.005773,-999.000000,-999.000000,0.006572,0.005760,0.010710,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.190409,1.522302,1.305519,1.133027,1.313463,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,46.759116,1.457883,33.900000,311.883974,0.235048,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,09:13:59,227,227.384711,0.052074,0.084017,0.099891,-999.000000,-999.000000,0.125876,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.185521,-999.000000,-999.000000,0.222080,-999.000000,-999.000000,0.284294,0.314709,2.776636,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000877,0.001039,0.001068,-999.000000,-999.000000,0.000995,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001780,-999.000000,-999.000000,0.002799,-999.000000,-999.000000,0.003065,0.004442,0.016464,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.178209,1.558215,1.309823,1.121036,1.361144,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,43.262570,1.371764,34.400000,311.878725,0.235050,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,09:28:59,227,227.395127,0.052851,0.085029,0.101564,-999.000000,-999.000000,0.128615,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.190018,-999.000000,-999.000000,0.228828,-999.000000,-999.000000,0.292969,0.323349,2.778658,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001492,0.000400,0.000607,-999.000000,-999.000000,0.001198,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003201,-999.000000,-999.000000,0.003555,-999.000000,-999.000000,0.002205,0.002658,0.008631,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.195483,1.579901,1.327236,1.134096,1.350776,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,40.981987,1.323395,34.600000,311.875122,0.235051,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,09:58:59,227,227.415961,0.054374,0.086544,0.104649,-999.000000,-999.000000,0.133043,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.197264,-999.000000,-999.000000,0.238639,-999.000000,-999.000000,0.305310,0.336443,2.822571,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000531,0.000540,0.001207,-999.000000,-999.000000,0.001848,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004719,-999.000000,-999.000000,0.004687,-999.000000,-999.000000,0.006269,0.009426,0.019601,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.211887,1.593384,1.344809,1.147547,1.342157,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,36.808236,1.248002,35.500000,311.867915,0.235054,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,10:13:59,227,227.426377,0.050071,0.081237,0.100286,-999.000000,-999.000000,0.126981,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.189169,-999.000000,-999.000000,0.230039,-999.000000,-999.000000,0.296916,0.325870,2.795366,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001327,0.001004,0.001773,-999.000000,-999.000000,0.000579,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001641,-999.000000,-999.000000,0.003046,-999.000000,-999.000000,0.003335,0.004455,0.002477,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.220520,1.644694,1.366492,1.149284,1.362689,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,34.966959,1.219382,36.200000,311.864312,0.235055,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Marseille_ATMO,15:08:2022,10:28:59,227,227.436794,0.055026,0.088630,0.108009,-999.000000,-999.000000,0.137591,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.204430,-999.000000,-999.000000,0.247040,-999.000000,-999.000000,0.317822,0.349854,2.806441,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000662,0.002140,0.001533,-999.000000,-999.000000,0.001752,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.002778,-999.000000,-999.000000,0.003462,-999.000000,-999.000000,0.001975,0.001140,0.007949,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.216946,1.610278,1.347904,1.154875,1.360524,-999.000000,lev15,944,Marseille_ATMO,43.305900,5.395000,65.000000,33.329648,1.196026,36.600000,311.860708,0.235056,25:04:2023,9,1.639700,1.021300,0.870100,-999.,-999.,0.676900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499500,-999.,-999.,0.439900,-999.,-999.,0.379600,0.339400,0.936900,-999.,-999.,-999.,-999.,-999.,-999.,-999.
