wavelength_nm,angle_deg,f11,f12,f22,f33,f34,f44
350,0,2.420902136e+00,-0.000000000e+00,2.420902136e+00,2.420902136e+00,0.000000000e+00,2.420902136e+00
350,5,1.950136453e+00,-2.090452649e-05,1.950136453e+00,1.950136452e+00,0.000000000e+00,1.950136452e+00
350,10,1.228999330e+00,-1.919334484e-04,1.228999330e+00,1.228999315e+00,0.000000000e+00,1.228999315e+00
350,15,7.622971766e-01,-5.188154386e-04,7.622971766e-01,7.622970000e-01,0.000000000e+00,7.622970000e-01
350,20,4.972871154e-01,-8.786941124e-04,4.972871154e-01,4.972863391e-01,0.000000000e+00,4.972863391e-01
350,25,3.406188548e-01,-1.166078594e-03,3.406188548e-01,3.406168588e-01,0.000000000e+00,3.406168588e-01
350,30,2.425408849e-01,-1.338455246e-03,2.425408849e-01,2.425371918e-01,0.000000000e+00,2.425371918e-01
350,35,1.782906808e-01,-1.406830584e-03,1.782906808e-01,1.782851303e-01,0.000000000e+00,1.782851303e-01
350,40,1.347057946e-01,-1.404281221e-03,1.347057946e-01,1.346984747e-01,0.000000000e+00,1.346984747e-01
350,45,1.042865596e-01,-1.361847611e-03,1.042865596e-01,1.042776672e-01,0.000000000e+00,1.042776672e-01
350,50,8.253258366e-02,-1.299965483e-03,8.253258366e-02,8.252234519e-02,0.000000000e+00,8.252234519e-02
350,55,6.663870595e-02,-1.229525847e-03,6.663870595e-02,6.662736222e-02,0.000000000e+00,6.662736222e-02
350,60,5.480343318e-02,-1.155560456e-03,5.480343318e-02,5.479124902e-02,0.000000000e+00,5.479124902e-02
350,65,4.584031335e-02,-1.080202522e-03,4.584031335e-02,4.582758438e-02,0.000000000e+00,4.582758438e-02
350,70,3.895036160e-02,-1.004354977e-03,3.895036160e-02,3.893741054e-02,0.000000000e+00,3.893741054e-02
350,75,3.358456452e-02,-9.284777131e-04,3.358456452e-02,3.357172774e-02,0.000000000e+00,3.357172774e-02
350,80,2.935864404e-02,-8.529300081e-04,2.935864404e-02,2.934625172e-02,0.000000000e+00,2.934625172e-02
350,85,2.599901538e-02,-7.781114416e-04,2.599901538e-02,2.598736892e-02,0.000000000e+00,2.598736892e-02
350,90,2.330781380e-02,-7.045057296e-04,2.330781380e-02,2.329716412e-02,0.000000000e+00,2.329716412e-02
350,95,2.113982506e-02,-6.326697590e-04,2.113982506e-02,2.113035571e-02,0.000000000e+00,2.113035571e-02
350,100,1.938698961e-02,-5.631893144e-04,1.938698961e-02,1.937880759e-02,0.000000000e+00,1.937880759e-02
350,105,1.796781041e-02,-4.966170145e-04,1.796781041e-02,1.796094603e-02,0.000000000e+00,1.796094603e-02
350,110,1.681998715e-02,-4.334055777e-04,1.681998715e-02,1.681440238e-02,0.000000000e+00,1.681440238e-02
350,115,1.589520608e-02,-3.738486462e-04,1.589520608e-02,1.589080909e-02,0.000000000e+00,1.589080909e-02
350,120,1.515539176e-02,-3.180439614e-04,1.515539176e-02,1.515205424e-02,0.000000000e+00,1.515205424e-02
350,125,1.456996745e-02,-2.659007473e-04,1.456996745e-02,1.456754092e-02,0.000000000e+00,1.456754092e-02
350,130,1.411382659e-02,-2.172193652e-04,1.411382659e-02,1.411215493e-02,0.000000000e+00,1.411215493e-02
350,135,1.376582269e-02,-1.718619589e-04,1.376582269e-02,1.376474983e-02,0.000000000e+00,1.376474983e-02
350,140,1.350765560e-02,-1.299906953e-04,1.350765560e-02,1.350703010e-02,0.000000000e+00,1.350703010e-02
350,145,1.332308103e-02,-9.227565098e-05,1.332308103e-02,1.332276147e-02,0.000000000e+00,1.332276147e-02
350,150,1.319740132e-02,-5.990822959e-05,1.319740132e-02,1.319726535e-02,0.000000000e+00,1.319726535e-02
350,155,1.311721183e-02,-3.427582919e-05,1.311721183e-02,1.311716705e-02,0.000000000e+00,1.311716705e-02
350,160,1.307037932e-02,-1.631773888e-05,1.307037932e-02,1.307036913e-02,0.000000000e+00,1.307036913e-02
350,165,1.304621809e-02,-5.843173524e-06,1.304621809e-02,1.304621678e-02,0.000000000e+00,1.304621678e-02
350,170,1.303581021e-02,-1.265552915e-06,1.303581021e-02,1.303581015e-02,0.000000000e+00,1.303581015e-02
350,175,1.303239472e-02,-8.371591520e-08,1.303239472e-02,1.303239472e-02,0.000000000e+00,1.303239472e-02
350,180,1.303173734e-02,-0.000000000e+00,1.303173734e-02,1.303173734e-02,0.000000000e+00,1.303173734e-02
375,0,2.420314854e+00,-0.000000000e+00,2.420314854e+00,2.420314854e+00,0.000000000e+00,2.420314854e+00
375,5,1.948562973e+00,-2.050374765e-05,1.948562973e+00,1.948562973e+00,0.000000000e+00,1.948562973e+00
375,10,1.226634015e+00,-1.880431388e-04,1.226634015e+00,1.226634001e+00,0.000000000e+00,1.226634001e+00
375,15,7.603215117e-01,-5.079597794e-04,7.603215117e-01,7.603213420e-01,0.000000000e+00,7.603213420e-01
375,20,4.960584947e-01,-8.604128118e-04,4.960584947e-01,4.960577485e-01,0.000000000e+00,4.960577485e-01
375,25,3.400003338e-01,-1.142567719e-03,3.400003338e-01,3.399984140e-01,0.000000000e+00,3.399984140e-01
375,30,2.423098596e-01,-1.312603175e-03,2.423098596e-01,2.423063043e-01,0.000000000e+00,2.423063043e-01
375,35,1.782762073e-01,-1.380861154e-03,1.782762073e-01,1.782708594e-01,0.000000000e+00,1.782708594e-01
375,40,1.348011644e-01,-1.379446692e-03,1.348011644e-01,1.347941062e-01,0.000000000e+00,1.347941062e-01
375,45,1.044311732e-01,-1.338670823e-03,1.044311732e-01,1.044225928e-01,0.000000000e+00,1.044225928e-01
375,50,8.269393473e-02,-1.278567042e-03,8.269393473e-02,8.268404990e-02,0.000000000e+00,8.268404990e-02
375,55,6.680021895e-02,-1.209852599e-03,6.680021895e-02,6.678926192e-02,0.000000000e+00,6.678926192e-02
375,60,5.495723035e-02,-1.137504730e-03,5.495723035e-02,5.494545705e-02,0.000000000e+00,5.494545705e-02
375,65,4.598314170e-02,-1.063652383e-03,4.598314170e-02,4.597083820e-02,0.000000000e+00,4.597083820e-02
375,70,3.908135881e-02,-9.892108368e-04,3.908135881e-02,3.906883757e-02,0.000000000e+00,3.906883757e-02
375,75,3.370405149e-02,-9.146550567e-04,3.370405149e-02,3.369163832e-02,0.000000000e+00,3.369163832e-02
375,80,2.946748044e-02,-8.403570983e-04,2.946748044e-02,2.945549531e-02,0.000000000e+00,2.945549531e-02
375,85,2.609826155e-02,-7.667255710e-04,2.609826155e-02,2.608699653e-02,0.000000000e+00,2.608699653e-02
375,90,2.339855840e-02,-6.942494726e-04,2.339855840e-02,2.338825673e-02,0.000000000e+00,2.338825673e-02
375,95,2.122310210e-02,-6.234878841e-04,2.122310210e-02,2.121394177e-02,0.000000000e+00,2.121394177e-02
