altitude_m,pressure_pa,temperature_k,molecular_number_density_m3,ozone_number_density_m3,h2o_number_density_m3,no2_number_density_m3,aerosol_extinction_550_m_inv,aerosol_single_scattering_albedo,aerosol_asymmetry,aerosol_scattering_angstrom_exponent,aerosol_absorption_angstrom_exponent
35.0,1.002700e+05,298.150000,2.435863e+25,3.655103e+14,5.292264e+23,2.987231e+16,9.870369e-05,0.990053,0.705754,0.976744,1.139332
276.0,9.750000e+04,299.350000,2.359077e+25,5.422454e+14,3.265730e+23,2.511441e+16,7.838522e-05,0.989435,0.698275,1.070455,1.150011
504.0,9.500000e+04,297.850000,2.310164e+25,7.094471e+14,3.068720e+23,2.139163e+16,6.357134e-05,0.988900,0.691090,1.157870,1.160695
737.0,9.250000e+04,296.050000,2.263046e+25,8.803154e+14,2.950884e+23,1.823127e+16,5.179058e-05,0.988417,0.683715,1.244552,1.172207
975.0,9.000000e+04,294.150000,2.216105e+25,1.054850e+15,2.860498e+23,1.555740e+16,4.233332e-05,0.987980,0.676406,1.328257,1.184590
1467.0,8.500000e+04,291.050000,2.115281e+25,1.415654e+15,2.383752e+23,1.139830e+16,2.837978e-05,0.987189,0.662782,1.481023,1.212183
1983.0,8.000000e+04,287.550000,2.015085e+25,1.794058e+15,1.711292e+23,8.452545e+15,1.934822e-05,0.986703,0.650023,1.610790,1.243936
3094.0,7.000000e+04,279.350000,1.814956e+25,4.372918e+15,6.067516e+22,4.931468e+15,9.545188e-06,0.986864,0.628861,1.777876,1.320937
4337.0,6.000000e+04,272.050000,1.597420e+25,8.976044e+15,1.986445e+22,3.175474e+15,5.118632e-06,0.988514,0.614133,1.826758,1.416308
5766.0,5.000000e+04,263.150000,1.376206e+25,2.308381e+16,9.743893e+21,2.230276e+15,2.977330e-06,0.991183,0.604438,1.808841,1.526433
7449.4,4.000000e+04,251.850000,1.150363e+25,4.869166e+16,6.267783e+21,1.638298e+15,1.871797e-06,0.994108,0.597907,1.788146,1.639036
9498.4,3.000000e+04,235.150000,9.240447e+24,1.506454e+17,2.403606e+21,1.192924e+15,1.254391e-06,0.996636,0.593093,1.803177,1.735980
10729.5,2.500000e+04,226.150000,8.006821e+24,2.750711e+17,1.512534e+21,9.959646e+14,1.044795e-06,0.997653,0.590965,1.826975,1.773901
12188.4,2.000000e+04,222.650000,6.506149e+24,4.731009e+17,1.377102e+20,8.068433e+14,8.633121e-07,0.998474,0.588972,1.858210,1.803874
14041.8,1.500000e+04,216.650000,5.014750e+24,9.630293e+17,5.190876e+19,6.185948e+14,6.124723e-07,0.999003,0.587922,1.875537,1.826090
16612.5,1.000000e+04,215.150000,3.366475e+24,2.026593e+18,2.169828e+19,4.283397e+14,3.871909e-07,0.999446,0.586703,1.900138,1.840583
18857.9,7.000000e+03,215.650000,2.351069e+24,3.299606e+18,0.000000e+00,3.107832e+14,2.626902e-07,0.999669,0.585766,1.920544,1.845864
21000.0,5.000000e+03,219.650000,1.648753e+24,4.552284e+18,0.000000e+00,2.288518e+14,1.831104e-07,0.999799,0.584961,1.938475,1.848120
24308.4,3.000000e+03,222.650000,9.759224e+23,5.769148e+18,0.000000e+00,1.426568e+14,1.064785e-07,0.999908,0.583878,1.962761,1.849445
25000.0,3.000000e+03,222.650000,9.759224e+23,5.921558e+18,0.000000e+00,1.292364e+14,9.526781e-08,0.999922,0.583676,1.967299,1.849570
27500.0,2.119945e+03,225.150000,6.819764e+23,5.370620e+18,0.000000e+00,9.042314e+13,6.405811e-08,0.999957,0.583014,1.982179,1.849829
30000.0,1.498056e+03,227.650000,4.766252e+23,4.006726e+18,0.000000e+00,6.326659e+13,4.338760e-08,0.999977,0.582454,1.994785,1.849932
32500.0,1.058599e+03,231.050000,3.318502e+23,2.458849e+18,0.000000e+00,4.426589e+13,2.956760e-08,0.999988,0.581986,2.005322,1.849973
35000.0,7.480567e+02,238.050000,2.276057e+23,1.241226e+18,0.000000e+00,3.097163e+13,2.025234e-08,0.999993,0.581599,2.014031,1.849989
37500.0,5.286130e+02,245.050000,1.562427e+23,5.154027e+17,0.000000e+00,2.167000e+13,1.392999e-08,0.999996,0.581282,2.021164,1.849996
40000.0,3.735435e+02,252.050000,1.073424e+23,1.760433e+17,0.000000e+00,1.516190e+13,9.614093e-09,0.999998,0.581024,2.026961,1.849998
42500.0,2.639639e+02,259.050000,7.380361e+22,4.946170e+16,0.000000e+00,1.060837e+13,6.653742e-09,0.999999,0.580816,2.031643,1.849999
45000.0,1.865296e+02,266.050000,5.078100e+22,1.143129e+16,0.000000e+00,7.422383e+12,4.615201e-09,0.999999,0.580649,2.035406,1.850000
47500.0,1.318108e+02,270.650000,3.527441e+22,2.173195e+15,0.000000e+00,5.193238e+12,3.206941e-09,1.000000,0.580515,2.038419,1.850000
50000.0,9.314389e+01,265.650000,2.539576e+22,3.398434e+14,0.000000e+00,3.633566e+12,2.231573e-09,1.000000,0.580408,2.040822,1.850000
52500.0,6.581997e+01,260.650000,1.829012e+22,4.371554e+13,0.000000e+00,2.542306e+12,1.554623e-09,1.000000,0.580323,2.042735,1.850000
55000.0,4.651157e+01,255.650000,1.317747e+22,4.625619e+12,0.000000e+00,1.778782e+12,1.084007e-09,1.000000,0.580255,2.044255,1.850000
57500.0,3.286732e+01,250.650000,9.497588e+21,4.026063e+11,0.000000e+00,1.244565e+12,7.563983e-10,1.000000,0.580202,2.045460,1.850000
60000.0,2.322564e+01,245.650000,6.848060e+21,2.882492e+10,0.000000e+00,8.707878e+11,5.280998e-10,1.000000,0.580159,2.046414,1.850000
62500.0,1.641236e+01,240.650000,4.939714e+21,1.697589e+09,0.000000e+00,6.092663e+11,3.688731e-10,1.000000,0.580126,2.047169,1.850000
