wavelength_nm,instrument_response
350.0,1.004993e-06
360.0,1.770457e-05
370.0,2.535711e-04
380.0,2.620532e-03
390.0,1.621335e-02
400.0,5.846088e-02
410.0,1.467430e-01
420.0,2.948415e-01
430.0,5.002856e-01
440.0,7.287518e-01
450.0,9.166726e-01
460.0,1.000000e+00
470.0,9.809832e-01
480.0,8.972503e-01
490.0,7.689361e-01
500.0,6.186964e-01
510.0,4.657079e-01
520.0,3.242242e-01
530.0,2.043498e-01
540.0,1.124145e-01
550.0,5.079403e-02
560.0,1.736177e-02
570.0,4.237709e-03
580.0,7.549189e-04
590.0,1.056290e-04
600.0,1.237915e-05
610.0,1.263409e-06
620.0,1.149541e-07
630.0,9.486386e-09
640.0,7.204788e-10
650.0,5.095857e-11
660.0,3.381037e-12
670.0,2.108039e-13
680.0,1.231574e-14
690.0,6.707163e-16
700.0,3.386853e-17
710.0,1.579045e-18
720.0,6.777961e-20
730.0,2.674109e-21
740.0,9.688225e-23
750.0,3.221836e-24
760.0,9.832656e-26
770.0,2.753663e-27
780.0,7.076350e-29
790.0,1.668636e-30
800.0,3.610488e-32
