index,zenith_deg,relative_azimuth_deg,intensity_gain,dolp_scale,aop_offset_deg,source_reference_intensity,source_model_intensity,source_reference_dop,source_model_dop,source_reference_aop_deg,source_model_aop_deg
0,3.085892,5.062779,1.99020267343344092e+09,5.21679504367960067e-01,8.65284223188568404e+01,8.21333300000000008e+02,4.12688270879999995e-07,4.36058999999999974e-01,8.35875276580602011e-01,-9.96942999999999913e+00,8.35021476811431569e+01
1,3.229108,14.703974,2.10971580292149925e+09,5.20143321322732666e-01,6.25728340547976813e+01,7.89333300000000008e+02,3.74142004770000016e-07,4.30532000000000026e-01,8.27718019920260284e-01,-2.29882629999999999e+01,-8.55610970547976848e+01
2,3.597456,25.660826,2.46139574363120508e+09,5.06347039257253662e-01,4.37242676899556386e+01,7.74222200000000043e+02,3.14546005859999997e-07,4.11760999999999988e-01,8.13199185688931236e-01,-2.82383090000000010e+01,-7.19625766899556396e+01
3,2.954261,34.6243,1.71708642429146886e+09,5.99194317808739552e-01,2.97419378358788578e+01,7.49600000000000023e+02,4.36553448559999993e-07,4.99906999999999990e-01,8.34298632584109856e-01,-3.71369370000000032e+01,-6.68788748358788609e+01
4,3.207406,44.916314,1.81398579930849481e+09,5.64329636193408812e-01,5.39940210088840189e+00,7.93454500000000053e+02,4.37409433030000006e-07,4.71050999999999997e-01,8.34708953400703502e-01,-5.09445479999999975e+01,-5.63439501008883994e+01
5,3.134536,54.912808,1.66286814885662484e+09,6.10009478254889936e-01,-9.05882607354934066e+00,7.78666699999999992e+02,4.68267252900000016e-07,5.13907000000000003e-01,8.42457401596743871e-01,-5.58040220000000033e+01,-4.67451959264506627e+01
6,3.199281,65.149525,1.67139528899235940e+09,5.43200866154021522e-01,-3.14796353405954292e+01,7.88000000000000000e+02,4.71462379479999981e-07,4.57627999999999979e-01,8.42465519689068687e-01,-6.76695140000000066e+01,-3.61898786594045774e+01
7,2.876036,74.803392,1.66417950750035787e+09,4.93784292106641987e-01,-5.24716798834211744e+01,7.62399999999999977e+02,4.58123655869999980e-07,4.19277999999999984e-01,8.49111660096002030e-01,-7.86731410000000011e+01,-2.62014611165788232e+01
8,3.486702,84.718292,1.70860627665802193e+09,4.84613166173366305e-01,-6.85025085820990967e+01,7.98399999999999977e+02,4.67281439210000026e-07,4.12604000000000026e-01,8.51408976891879110e-01,-8.45094869999999929e+01,-1.60069784179008998e+01
9,2.917642,94.438169,1.53615957587196541e+09,5.82138232765394670e-01,-8.93731589727207876e+01,7.51200000000000045e+02,4.89011696310000050e-07,4.98107999999999995e-01,8.55652441231669836e-01,8.40537379999999956e+01,-6.57310302727921592e+00
10,3.312805,103.729008,1.40167420302894950e+09,5.24376391882343751e-01,7.33878256633914106e+01,7.56444399999999973e+02,5.39672056719999983e-07,4.52737999999999974e-01,8.63383643902836950e-01,7.58201439999999991e+01,2.43231833660858898e+00
11,3.194998,114.944475,1.24935163513522863e+09,5.52183388605015368e-01,4.39242279589581486e+01,7.67333300000000008e+02,6.14185212889999982e-07,4.81059000000000014e-01,8.71194262499099481e-01,5.70438680000000033e+01,1.31196400410418530e+01
12,3.135353,125.278465,1.10547192767877030e+09,5.81456355130269165e-01,2.90712491774166608e+01,7.57333300000000008e+02,6.85076916959999958e-07,5.09902999999999995e-01,8.76941141843331717e-01,5.21577369999999974e+01,2.30864878225833365e+01
13,3.230062,134.591503,9.82148163242984056e+08,5.71934760398337683e-01,9.93592518223018573e+00,7.19200000000000045e+02,7.32272407480000047e-07,5.03888000000000003e-01,8.81023562283668737e-01,4.22245520000000027e+01,3.22886268177698170e+01
14,2.954861,144.75884,9.98315002265830636e+08,5.46241253942973737e-01,-1.13671652781601402e+01,7.43272699999999986e+02,7.44527226690000033e-07,4.81287000000000020e-01,8.81088706731486204e-01,3.08924890000000012e+01,4.22596542781601414e+01
15,3.295857,154.683082,9.89168109412421465e+08,5.57199092057916845e-01,-3.29045500235624573e+01,7.54399999999999977e+02,7.62661061169999948e-07,4.91750000000000020e-01,8.82539126515457739e-01,1.94089010000000002e+01,5.23134510235624575e+01
16,3.205123,165.350741,9.20202051724939823e+08,5.64404446679222183e-01,-5.27324702013782911e+01,6.94399999999999977e+02,7.54616878650000028e-07,4.98574000000000017e-01,8.83362990730233055e-01,1.01513810000000007e+01,6.28838512013782918e+01
17,3.066242,175.067292,9.35191918324544907e+08,5.51602946585903697e-01,-7.11647707342766012e+01,6.96799999999999955e+02,7.45087704830000008e-07,4.86810000000000020e-01,8.82536982467309605e-01,1.24874200000000002e+00,7.24135127342766083e+01
18,3.248676,185.3406,1.03687540359385002e+09,5.39153684682075585e-01,8.27287040621348666e+01,7.56000000000000000e+02,7.29113640250000045e-07,4.75750000000000006e-01,8.82401462730495800e-01,-1.45984660000000002e+01,8.26728299378651315e+01
19,3.202815,203.855079,1.04928357569306481e+09,5.62693817109038430e-01,5.50851892988074070e+01,7.50153800000000047e+02,7.14919986720000029e-07,4.95680000000000009e-01,8.80905360834891682e-01,-2.41330199999999984e+01,-7.92182092988074089e+01
20,3.043794,214.533226,1.03644426814359879e+09,5.45939677905546761e-01,3.15577150452287754e+01,7.33818200000000047e+02,7.08015107570000017e-07,4.80447999999999986e-01,8.80038618631273861e-01,-3.73160079999999965e+01,-6.88737230452287719e+01
21,3.268784,224.762651,1.13223561744341469e+09,6.00181874211842770e-01,9.29348502972184320e+00,7.91111099999999965e+02,6.98715963190000044e-07,5.27343000000000006e-01,8.78638663809208520e-01,-4.95672440000000023e+01,-5.88607290297218455e+01
22,3.17396,234.512551,1.10707399701308179e+09,5.55543074361556366e-01,-8.44970001754794708e+00,7.68000000000000000e+02,6.93720566170000025e-07,4.86690000000000011e-01,8.76061681732449027e-01,-5.78492079999999973e+01,-4.93995079824520502e+01
23,3.016761,244.324624,1.17363190883259106e+09,5.53810930647267163e-01,-2.90638437431743313e+01,7.99200000000000045e+02,6.80963080490000017e-07,4.83746999999999983e-01,8.73487634912911814e-01,-6.88834990000000005e+01,-3.98196552568256692e+01
24,3.065903,254.499484,1.23561318777858973e+09,5.53508224358730705e-01,-5.30312104130440503e+01,8.12000000000000000e+02,6.57163591350000042e-07,4.80972000000000011e-01,8.68951858045527992e-01,-8.27900319999999965e+01,-2.97588215869559427e+01
25,3.155899,265.005066,1.27590357921340251e+09,5.75993243282996392e-01,-7.28804881453651205e+01,7.96799999999999955e+02,6.24498600820000014e-07,4.98914000000000024e-01,8.66180299540205034e-01,8.78219409999999954e+01,-1.92975708546348912e+01
26,3.146537,274.744719,1.38791129140469551e+09,4.82486760585015662e-01,8.90843790793569070e+01,7.96799999999999955e+02,5.74100091940000052e-07,4.13474000000000008e-01,8.56964447063091161e-01,7.98298980000000000e+01,-9.25448107935690700e+00
27,3.282025,283.827712,1.49586010076734805e+09,5.88900675761518055e-01,6.87890385163262437e+01,7.80799999999999955e+02,5.21973946359999989e-07,5.03978000000000037e-01,8.55794569004861505e-01,6.90113220000000069e+01,2.22283483673760690e-01
28,3.325688,295.411445,1.75633950471271849e+09,5.88894062489192849e-01,4.51600044374423248e+01,8.08727300000000014e+02,4.60461828609999984e-07,5.00982000000000038e-01,8.50716677091974960e-01,5.77740129999999965e+01,1.26140085625576717e+01
29,3.222611,305.155665,1.92331408900575995e+09,5.79804872376635805e-01,2.74992225814666398e+01,8.20799999999999955e+02,4.26763368859999995e-07,4.90310000000000024e-01,8.45646567249782044e-01,5.05118099999999970e+01,2.30125874185333572e+01
30,2.952813,314.932965,1.96529770143018174e+09,5.82480096621879384e-01,9.77784707821586352e+00,8.27200000000000045e+02,4.20903153449999984e-07,4.87495000000000012e-01,8.36929884518372580e-01,4.28302400000000034e+01,3.30523929217841399e+01
31,3.174858,325.258385,1.88687145294464517e+09,4.71592708162044183e-01,-1.21191451021164660e+01,7.88000000000000000e+02,4.17622514120000022e-07,3.96131999999999984e-01,8.39987542521299702e-01,3.11533249999999988e+01,4.32724701021164648e+01
32,3.168849,335.338616,1.94515481858245873e+09,5.35016184268884087e-01,-2.73060520887564770e+01,8.37600000000000023e+02,4.30608397850000022e-07,4.49110000000000009e-01,8.39432550276441702e-01,2.57460410000000017e+01,5.30520930887564788e+01
33,3.158686,345.232989,1.85095239494076562e+09,5.34713972675447513e-01,-5.29754534715254977e+01,8.06545499999999947e+02,4.35746214869999979e-07,4.49280000000000013e-01,8.40224910809834191e-01,9.86389299999999913e+00,6.28393464715254950e+01
34,3.061937,355.197493,1.84638575943352699e+09,5.34033309112152743e-01,-7.43900110401175851e+01,8.06399999999999977e+02,4.36745136209999983e-07,4.43114999999999981e-01,8.29751613689963752e-01,-1.11579099999999998e+00,7.32742200401175836e+01
35,7.256915,4.892257,3.68521758346749592e+09,4.75981339963480021e-01,7.53421244496912550e+01,8.41548400000000015e+02,2.28357859729999997e-07,3.84203000000000017e-01,8.07180802569861799e-01,-9.96497600000000006e+00,-8.53071004496912479e+01
36,7.340773,14.818199,3.78791740114277887e+09,5.17100580925009767e-01,5.79129421354615062e+01,8.39142900000000054e+02,2.21531467330000013e-07,4.22709000000000001e-01,8.17459920938092166e-01,-1.70148879999999991e+01,-7.49278301354615053e+01
37,7.404818,25.051557,3.63310290026251888e+09,5.25431770228773187e-01,3.26026375218916797e+01,8.17931000000000040e+02,2.25132902219999997e-07,4.15486999999999995e-01,7.90753478456578285e-01,-3.16235290000000013e+01,-6.42261665218916846e+01
38,7.252809,34.939569,3.52178378868937874e+09,5.42909082423839173e-01,1.65008479339326257e+01,8.02666699999999992e+02,2.27914814810000005e-07,4.18430000000000024e-01,7.70718364356519192e-01,-3.77950400000000002e+01,-5.42958879339326259e+01
39,7.449645,45.008987,3.56273979508019161e+09,5.92170258869085808e-01,-3.44685589896190692e+00,8.18580600000000004e+02,2.29761545070000001e-07,4.54537999999999998e-01,7.67579920119708548e-01,-4.80560320000000019e+01,-4.46091761010380949e+01
40,7.389299,55.12179,3.51675469078265572e+09,5.97844582542337966e-01,-2.13714499458663241e+01,8.09548400000000015e+02,2.30197574520000009e-07,4.67498999999999998e-01,7.81974134501574825e-01,-5.68312900000000027e+01,-3.54598400541336787e+01
41,7.378459,64.990252,2.92913709912861490e+09,6.55891933826596163e-01,-4.09567397250428513e+01,7.64903199999999970e+02,2.61136018599999999e-07,5.25544000000000011e-01,8.01266142935892045e-01,-6.96636620000000022e+01,-2.87069222749571509e+01
