zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg
3.085892,5.062779,8.213333e+02,3.366811e+02,-1.221352e+02,0.436059,-9.969430
3.229108,14.703974,7.893333e+02,2.361681e+02,-2.443588e+02,0.430532,-22.988263
3.597456,25.660826,7.742222e+02,1.760630e+02,-2.657664e+02,0.411761,-28.238309
2.954261,34.624300,7.496000e+02,1.015668e+02,-3.607038e+02,0.499907,-37.136937
3.207406,44.916314,7.934545e+02,-7.700073e+01,-3.657396e+02,0.471051,-50.944548
3.134536,54.912808,7.786667e+02,-1.473617e+02,-3.720406e+02,0.513907,-55.804022
3.199281,65.149525,7.880000e+02,-2.564946e+02,-2.534769e+02,0.457628,-67.669514
2.876036,74.803392,7.624000e+02,-2.949957e+02,-1.231195e+02,0.419278,-78.673141
3.486702,84.718292,7.984000e+02,-3.233915e+02,-6.274981e+01,0.412604,-84.509487
2.917642,94.438169,7.512000e+02,-3.661474e+02,7.710946e+01,0.498108,84.053738
3.312805,103.729008,7.564444e+02,-3.013686e+02,1.626757e+02,0.452738,75.820144
3.194998,114.944475,7.673333e+02,-1.506561e+02,3.369894e+02,0.481059,57.043868
3.135353,125.278465,7.573333e+02,-9.548373e+01,3.741753e+02,0.509903,52.157737
3.230062,134.591503,7.192000e+02,3.505457e+01,3.606969e+02,0.503888,42.224552
2.954861,144.758840,7.432727e+02,1.691272e+02,3.152224e+02,0.481287,30.892489
3.295857,154.683082,7.544000e+02,2.890435e+02,2.325448e+02,0.491750,19.408901
3.205123,165.350741,6.944000e+02,3.247005e+02,1.201282e+02,0.498574,10.151381
3.066242,175.067292,6.968000e+02,3.388870e+02,1.478121e+01,0.486810,1.248742
3.248676,185.340600,7.560000e+02,3.139704e+02,-1.754501e+02,0.475750,-14.598466
3.202815,203.855079,7.501538e+02,2.475214e+02,-2.774807e+02,0.495680,-24.133020
3.043794,214.533226,7.338182e+02,9.343487e+01,-3.399550e+02,0.480448,-37.316008
3.268784,224.762651,7.911111e+02,-6.622945e+01,-4.118965e+02,0.527343,-49.567244
3.173960,234.512551,7.680000e+02,-1.620829e+02,-3.368072e+02,0.486690,-57.849208
3.016761,244.324624,7.992000e+02,-2.862531e+02,-2.598591e+02,0.483747,-68.883499
3.065903,254.499484,8.120000e+02,-3.782452e+02,-9.725716e+01,0.480972,-82.790032
3.155899,265.005066,7.968000e+02,-3.963867e+02,3.019493e+01,0.498914,87.821941
3.146537,274.744719,7.968000e+02,-3.089129e+02,1.145168e+02,0.413474,79.829898
3.282025,283.827712,7.808000e+02,-2.925361e+02,2.631914e+02,0.503978,69.011322
3.325688,295.411445,8.087273e+02,-1.747315e+02,3.655435e+02,0.500982,57.774013
3.222611,305.155665,8.208000e+02,-7.695325e+01,3.950207e+02,0.490310,50.511810
2.952813,314.932965,8.272000e+02,3.051300e+01,4.021001e+02,0.487495,42.830240
3.174858,325.258385,7.880000e+02,1.450693e+02,2.763942e+02,0.396132,31.153325
3.168849,335.338616,8.376000e+02,2.342147e+02,2.943648e+02,0.449110,25.746041
3.158686,345.232989,8.065455e+02,3.410963e+02,1.223168e+02,0.449280,9.863893
3.061937,355.197493,8.064000e+02,3.570570e+02,-1.391386e+01,0.443115,-1.115791
7.256915,4.892257,8.415484e+02,3.039614e+02,-1.102122e+02,0.384203,-9.964976
7.340773,14.818199,8.391429e+02,2.939676e+02,-1.985060e+02,0.422709,-17.014888
7.404818,25.051557,8.179310e+02,1.529768e+02,-3.034616e+02,0.415487,-31.623529
7.252809,34.939569,8.026667e+02,8.358117e+01,-3.252933e+02,0.418430,-37.795040
7.449645,45.008987,8.185806e+02,-3.961619e+01,-3.699607e+02,0.454538,-48.056032
7.389299,55.121790,8.095484e+02,-1.518961e+02,-3.466439e+02,0.467499,-56.831290
7.378459,64.990252,7.649032e+02,-3.048878e+02,-2.619920e+02,0.525544,-69.663662
7.324242,75.169393,7.481290e+02,-3.304058e+02,-1.546241e+02,0.487612,-77.460619
7.507604,85.099604,7.624000e+02,-3.616711e+02,6.388078e+00,0.474459,89.494054
7.378463,95.073542,7.331613e+02,-3.586709e+02,9.336093e+01,0.505513,82.704926
7.294968,104.301660,7.187692e+02,-2.997185e+02,1.933066e+02,0.496194,73.589794
7.317628,114.609021,7.340606e+02,-2.168223e+02,3.210801e+02,0.527794,62.015392
7.373759,124.945144,7.163871e+02,-8.112961e+01,3.794160e+02,0.541597,51.034829
7.483038,134.960077,7.072000e+02,4.296820e+01,3.536546e+02,0.503755,41.536326
7.371950,144.912575,7.045161e+02,1.967499e+02,3.182633e+02,0.531100,29.137855
7.447410,155.135172,7.115000e+02,2.796313e+02,2.524202e+02,0.529457,21.036114
