zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg,subset_region
2.876036,74.803392,7.624000e+02,-2.949957e+02,-1.231195e+02,0.419278,-78.673141,near_zenith
7.150060,204.922047,7.480000e+02,1.942978e+02,-3.492603e+02,0.534315,-30.456136,aop_flip_relaz_215_sector
7.252809,34.939569,8.026667e+02,8.358117e+01,-3.252933e+02,0.418430,-37.795040,aop_flip_relaz_45_sector
21.463620,44.978509,9.217391e+02,2.617366e+01,-3.846086e+02,0.418229,-43.053435,near_zenith
30.816987,24.801132,1.231294e+03,2.922808e+02,-1.984079e+02,0.286903,-17.084846,antisolar_midzen
30.823224,284.864059,1.135873e+03,-1.480714e+02,3.363879e+02,0.323570,56.879083,solar_vertical_midzen
68.671086,334.999499,1.017518e+04,-3.358499e+02,3.485391e+01,0.033184,87.037577,bright_horizon_arc
68.713365,15.001975,3.496599e+03,2.447297e+02,4.189338e+02,0.138757,29.853845,antisolar_midzen
68.717702,264.935502,1.778077e+03,-5.184853e+02,5.242729e+02,0.414691,67.340996,solar_vertical_midzen
82.923804,224.988177,1.597026e+03,4.356001e+01,-7.052074e+02,0.442417,-43.232692,aop_flip_relaz_215_sector
82.944673,34.992822,2.675596e+03,7.518318e+02,1.230479e+02,0.284735,4.647428,aop_flip_relaz_45_sector
87.651442,345.043038,3.693777e+03,-1.168842e+02,-1.193093e+02,0.045217,-67.205868,bright_horizon_arc
