zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg,subset_region
2.876036,74.803392,7.624000e+02,-2.949957e+02,-1.231195e+02,0.419278,-78.673141,near_zenith
7.150060,204.922047,7.480000e+02,1.942978e+02,-3.492603e+02,0.534315,-30.456136,aop_flip_relaz_215_sector
7.252809,34.939569,8.026667e+02,8.358117e+01,-3.252933e+02,0.418430,-37.795040,near_zenith
11.886921,14.748477,9.107200e+02,2.999330e+02,-1.926555e+02,0.391423,-16.356892,near_zenith
16.564558,245.073557,7.821714e+02,-3.178762e+02,-1.694952e+02,0.460566,-75.966480,near_zenith
16.777929,115.145330,7.035224e+02,-2.257363e+02,3.168667e+02,0.553006,62.733062,near_zenith
21.407074,215.014276,7.339780e+02,3.253666e+01,-3.992095e+02,0.545702,-42.670268,aop_flip_relaz_215_sector
21.422197,34.970109,9.760889e+02,1.704160e+02,-3.466574e+02,0.395744,-31.910689,aop_flip_relaz_45_sector
21.463620,44.978509,9.217391e+02,2.617366e+01,-3.846086e+02,0.418229,-43.053435,near_zenith
30.816987,24.801132,1.231294e+03,2.922808e+02,-1.984079e+02,0.286903,-17.084846,antisolar_midzen
30.823224,284.864059,1.135873e+03,-1.480714e+02,3.363879e+02,0.323570,56.879083,solar_vertical_midzen
30.874387,245.013084,8.511628e+02,-3.953679e+02,-2.046717e+02,0.523054,-76.315285,solar_vertical_midzen
35.574650,215.013301,8.100000e+02,6.575304e+01,-4.299830e+02,0.537014,-40.652838,aop_flip_relaz_215_sector
35.576727,355.000496,1.771413e+03,2.005112e+02,1.092418e+02,0.128902,14.291139,antisolar_midzen
35.585860,265.027386,1.024895e+03,-4.051786e+02,1.534316e+02,0.422732,79.629747,solar_vertical_midzen
35.605589,35.045332,1.239627e+03,2.854416e+02,-2.871473e+02,0.326617,-22.585339,aop_flip_relaz_45_sector
40.316147,265.004453,1.084810e+03,-4.103559e+02,1.941516e+02,0.418477,77.339887,solar_vertical_midzen
40.324163,14.954901,1.695377e+03,3.223591e+02,2.741944e+01,0.190827,2.430900,antisolar_midzen
45.034671,185.008968,9.434974e+02,3.542850e+02,-7.439626e+01,0.383692,-5.929611,global_fill
45.035585,255.000237,1.059728e+03,-5.145683e+02,2.545598e+01,0.486160,88.583927,solar_vertical_midzen
45.068991,345.000105,2.557757e+03,5.160841e+01,9.908723e+01,0.043680,31.243890,antisolar_midzen
49.750041,284.993310,1.661615e+03,-1.053905e+01,4.254936e+02,0.256151,45.709435,solar_vertical_midzen
49.792916,274.998561,1.429486e+03,-2.417986e+02,3.988947e+02,0.326312,60.611528,solar_vertical_midzen
54.482245,354.991676,3.374261e+03,2.814064e+01,2.209903e+02,0.066022,41.371539,antisolar_midzen
54.489972,224.980579,1.053183e+03,-1.157037e+02,-5.570261e+02,0.540187,-50.867216,aop_flip_relaz_215_sector
54.496164,54.998777,1.336441e+03,7.132906e+01,-6.075956e+02,0.457759,-41.652187,aop_flip_relaz_45_sector
54.525378,294.988667,2.130807e+03,1.742322e+02,3.376110e+02,0.178298,31.351461,solar_vertical_midzen
59.245405,345.009048,4.677065e+03,-7.386823e+01,1.197048e+02,0.030075,60.839088,antisolar_midzen
59.267953,285.028524,2.010915e+03,8.430071e+01,4.971973e+02,0.250778,40.188457,solar_vertical_midzen
63.966291,14.883510,3.112240e+03,2.739955e+02,3.764826e+02,0.149613,26.976862,antisolar_midzen
63.977704,274.997326,1.869463e+03,-1.610173e+02,5.920117e+02,0.328179,52.607716,solar_vertical_midzen
68.671086,334.999499,1.017518e+04,-3.358499e+02,3.485391e+01,0.033184,87.037577,bright_horizon_arc
68.694684,255.000139,1.583972e+03,-7.773178e+02,1.620008e+02,0.501284,84.113749,solar_vertical_midzen
68.701421,325.021154,6.093547e+03,-3.460622e+01,-1.466154e+02,0.024722,-51.640339,bright_horizon_arc
68.709859,225.022007,1.360803e+03,-5.150978e+01,-6.894637e+02,0.508072,-47.136313,aop_flip_relaz_215_sector
68.713365,15.001975,3.496599e+03,2.447297e+02,4.189338e+02,0.138757,29.853845,antisolar_midzen
68.717702,264.935502,1.778077e+03,-5.184853e+02,5.242729e+02,0.414691,67.340996,solar_vertical_midzen
68.722380,45.005744,1.988297e+03,5.839956e+02,-4.923453e+02,0.384169,-20.066506,aop_flip_relaz_45_sector
73.323030,334.714399,2.318053e+04,-9.220577e+02,4.430113e+02,0.044130,77.168802,bright_horizon_arc
73.440336,325.003746,7.186554e+03,-1.029869e+02,-2.435605e+02,0.036796,-56.460273,bright_horizon_arc
78.189566,344.989503,1.848461e+04,-9.098941e+02,-2.402572e+02,0.050912,-82.604333,bright_horizon_arc
78.270185,334.861859,2.286957e+04,-4.696965e+02,-3.387134e+02,0.025321,-72.101699,bright_horizon_arc
82.917558,334.980982,1.264181e+04,-4.460566e+02,-1.813318e+02,0.038088,-78.938588,bright_horizon_arc
82.923804,224.988177,1.597026e+03,4.356001e+01,-7.052074e+02,0.442417,-43.232692,aop_flip_relaz_215_sector
82.926566,325.000183,7.375743e+03,-1.611885e+02,-2.589601e+02,0.041356,-60.950002,bright_horizon_arc
82.944673,34.992822,2.675596e+03,7.518318e+02,1.230479e+02,0.284735,4.647428,aop_flip_relaz_45_sector
87.633138,335.017207,7.032110e+03,-1.511154e+02,-9.731022e+01,0.025559,-73.610315,bright_horizon_arc
87.651442,345.043038,3.693777e+03,-1.168842e+02,-1.193093e+02,0.045217,-67.205868,bright_horizon_arc
