zenith_deg,relative_azimuth_deg,intensity,dop
7.256915,4.892257,8.415484e+02,0.383389
7.404818,25.051557,8.179310e+02,0.418278
7.252809,34.939569,8.026667e+02,0.422357
7.389299,55.121790,8.095484e+02,0.470638
7.378459,64.990252,7.649032e+02,0.525704
7.507604,85.099604,7.624000e+02,0.474591
7.373759,124.945144,7.163871e+02,0.545104
7.341512,175.263881,7.158710e+02,0.527096
7.381269,235.089071,7.501333e+02,0.515864
7.353478,274.845058,7.961290e+02,0.478035
7.408634,325.071127,8.292414e+02,0.405291
7.384448,334.879866,8.557333e+02,0.383297
16.681388,4.825980,1.023768e+03,0.343267
16.690550,34.933928,9.089577e+02,0.385848
16.674523,55.123807,8.296000e+02,0.440602
16.748421,64.962075,8.002319e+02,0.463939
16.777929,115.145330,7.035224e+02,0.557963
16.669374,124.956588,7.042254e+02,0.551554
16.680578,145.000584,6.909714e+02,0.549435
16.685572,154.994874,6.811268e+02,0.562704
16.688560,184.825630,7.080563e+02,0.546947
16.691813,274.954761,8.785143e+02,0.401794
16.655979,295.256566,9.557647e+02,0.360136
16.685176,325.021144,1.044000e+03,0.300058
16.630886,334.987281,1.042235e+03,0.314824
26.113854,4.999927,1.237333e+03,0.235305
26.165957,85.001142,7.856429e+02,0.551181
26.132623,94.905787,7.589189e+02,0.557091
26.151169,124.992745,7.405000e+02,0.511368
26.157841,175.010098,7.337857e+02,0.504921
26.084484,205.206171,7.544906e+02,0.558716
26.148679,235.003143,7.801802e+02,0.540637
26.105162,274.995145,9.818909e+02,0.385674
26.159838,295.088269,1.125382e+03,0.302288
26.158318,334.954521,1.390357e+03,0.210390
35.615431,64.981972,9.327792e+02,0.505514
35.578370,94.975369,8.185960e+02,0.552849
35.609777,124.961339,8.005229e+02,0.484931
35.561546,145.028104,8.109804e+02,0.439886
35.573458,235.045094,8.442703e+02,0.570421
35.585860,265.027386,1.024895e+03,0.425783
35.583107,325.013702,1.779040e+03,0.107157
35.576727,355.000496,1.771413e+03,0.128953
45.041623,25.020234,1.673466e+03,0.234495
45.030436,34.986347,1.461822e+03,0.298590
45.063315,85.034347,9.378969e+02,0.560567
45.038273,124.982024,9.218367e+02,0.431502
45.055241,235.005374,9.273298e+02,0.569139
45.015971,244.976283,9.792500e+02,0.541567
45.041326,274.975054,1.310660e+03,0.345228
45.046263,295.155036,1.721792e+03,0.192901
45.003875,334.968698,2.593634e+03,0.041479
45.028397,355.009911,2.422232e+03,0.075643
49.727933,154.993950,1.066604e+03,0.257580
54.492233,4.979880,2.905496e+03,0.098556
54.511167,25.026939,2.073552e+03,0.212290
54.476459,64.997607,1.201162e+03,0.533183
54.514565,85.014084,1.063051e+03,0.574880
54.478989,124.998162,1.106120e+03,0.351305
54.502457,154.981702,1.178353e+03,0.200296
54.507286,175.026612,1.154909e+03,0.233931
54.507770,184.969346,1.124952e+03,0.288180
54.507526,274.968925,1.564934e+03,0.336134
54.499370,325.014781,3.465939e+03,0.019530
59.203202,304.991846,2.861538e+03,0.106549
63.969356,4.992298,3.823970e+03,0.098409
63.978813,55.009868,1.583389e+03,0.470850
64.000443,64.996928,1.403899e+03,0.537303
64.004176,85.007781,1.251523e+03,0.566281
63.975442,115.032801,1.293062e+03,0.371724
63.999701,154.981549,1.450036e+03,0.098562
63.960493,205.007521,1.301867e+03,0.389667
63.986648,265.029183,1.636438e+03,0.425774
63.977704,274.997326,1.869463e+03,0.332756
63.955247,355.003691,4.781570e+03,0.057321
68.671086,334.999499,1.017518e+04,0.033640
73.462283,25.020478,3.145518e+03,0.212399
73.441222,55.006151,1.847139e+03,0.472096
73.446615,85.011389,1.471448e+03,0.567097
73.463102,115.016373,1.542875e+03,0.337074
73.431821,214.961519,1.512720e+03,0.416048
73.461458,244.971721,1.574384e+03,0.531658
73.441057,265.007430,1.907776e+03,0.429178
73.440211,274.985041,2.262118e+03,0.334802
73.440336,325.003746,7.186554e+03,0.038300
82.922949,4.997768,4.190327e+03,0.096501
82.899129,25.076190,3.306989e+03,0.204735
82.944673,34.992822,2.675596e+03,0.288753
82.911263,55.001194,1.847287e+03,0.423291
82.940614,85.003106,1.458484e+03,0.508004
82.910241,94.995951,1.445230e+03,0.450155
82.915673,115.009342,1.367028e+03,0.252293
82.930579,154.952690,1.734281e+03,0.068559
82.931260,184.968999,1.569740e+03,0.166532
82.924940,265.032263,2.126997e+03,0.391677
82.899802,295.071574,3.767030e+03,0.160130
82.902326,304.983171,4.563329e+03,0.105580
82.926566,325.000183,7.375743e+03,0.042725
82.917558,334.980982,1.264181e+04,0.038087
87.619413,355.014106,1.571326e+03,0.066354
