zenith_deg,relative_azimuth_deg,intensity,dop
7.256915,4.892257,8.415484e+02,0.383389
7.378463,95.073542,7.331613e+02,0.506538
7.336594,185.009951,7.014286e+02,0.507415
7.353478,274.845058,7.961290e+02,0.478035
26.113854,4.999927,1.237333e+03,0.235305
26.132623,94.905787,7.589189e+02,0.557091
26.113562,185.033848,7.350631e+02,0.544066
26.105162,274.995145,9.818909e+02,0.385674
45.042862,5.002487,2.184838e+03,0.124887
45.022307,95.036829,9.138144e+02,0.561812
45.034671,185.008968,9.434974e+02,0.386103
45.041326,274.975054,1.310660e+03,0.345228
63.969356,4.992298,3.823970e+03,0.098409
63.972708,95.015445,1.247367e+03,0.531544
63.983909,185.007113,1.385460e+03,0.230975
63.977704,274.997326,1.869463e+03,0.332756
