wavelength_nm,instrument_response
350.0,1.985750e-07
360.0,3.726653e-06
370.0,5.136553e-05
380.0,5.199757e-04
390.0,3.865920e-03
400.0,2.110966e-02
410.0,8.465799e-02
420.0,2.493522e-01
430.0,5.394075e-01
440.0,8.569969e-01
450.0,1.000000e+00
460.0,8.569969e-01
470.0,5.394075e-01
480.0,2.493522e-01
490.0,8.465799e-02
500.0,2.110966e-02
510.0,3.865920e-03
520.0,5.199757e-04
530.0,5.136553e-05
540.0,3.726653e-06
550.0,1.985750e-07
560.0,7.771214e-09
570.0,2.233631e-10
580.0,4.715119e-12
590.0,7.310252e-14
600.0,8.323970e-16
610.0,6.961248e-18
620.0,4.275651e-20
630.0,1.928750e-22
640.0,6.390106e-25
650.0,1.554886e-27
660.0,2.778739e-30
670.0,3.647165e-33
680.0,3.515778e-36
690.0,2.489121e-39
700.0,1.294283e-42
710.0,4.942774e-46
720.0,1.386343e-49
730.0,2.855810e-53
740.0,4.320623e-57
750.0,4.800892e-61
760.0,3.917924e-65
770.0,2.348273e-69
780.0,1.033712e-73
790.0,3.342020e-78
800.0,7.935551e-83
