altitude_deg,relative_azimuth_deg,intensity
0.0,0.0,0.9
10.0,0.0,0.7
30.0,0.0,0.18
50.0,0.0,0.06
70.0,0.0,0.033
90.0,0.0,0.022
0.0,22.5,0.68
10.0,22.5,0.67
30.0,22.5,0.17
50.0,22.5,0.06
70.0,22.5,0.033
90.0,22.5,0.022
0.0,45.0,0.4
10.0,45.0,0.35
30.0,45.0,0.1
50.0,45.0,0.046
70.0,45.0,0.031
90.0,45.0,0.022
0.0,90.0,0.17
10.0,90.0,0.155
30.0,90.0,0.06
50.0,90.0,0.038
70.0,90.0,0.028
90.0,90.0,0.022
0.0,180.0,0.085
10.0,180.0,0.085
30.0,180.0,0.056
50.0,180.0,0.037
70.0,180.0,0.028
90.0,180.0,0.022
