figure,role,recommended_use,caption_note,path
reference_intensity_norm.png,reference field,main text,Extracted normalized Marseille reference intensity field.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/reference_intensity_norm.png
model_intensity_norm.png,calibrated model field,main text,Calibrated model normalized intensity field; not raw first-principles closure.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/model_intensity_norm.png
intensity_difference.png,calibrated residual,main text,Calibrated normalized model minus reference intensity residual.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/intensity_difference.png
reference_dop.png,reference field,main text,Extracted reference degree of linear polarization.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/reference_dop.png
model_dop.png,calibrated model field,main text,Calibrated model degree of linear polarization; not raw first-principles closure.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/model_dop.png
dop_abs_error.png,calibrated residual,main text,Absolute calibrated DoLP residual.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/dop_abs_error.png
dop_signed_bias.png,calibrated residual,supplement,Calibrated signed DoLP bias field.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/dop_signed_bias.png
reference_aop_deg.png,reference field,main text,Extracted reference angle of polarization.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/reference_aop_deg.png
model_aop_deg.png,calibrated model field,main text,Calibrated model angle of polarization; not raw first-principles closure.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/model_aop_deg.png
aop_abs_error_deg.png,calibrated residual,main text,Absolute calibrated AoP residual.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/aop_abs_error_deg.png
first_order_fraction.png,transport diagnostic,supplement,First-order transport fraction in the solver output used by the calibrated comparison.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/first_order_fraction.png
second_order_fraction.png,transport diagnostic,supplement,Second-order transport fraction in the solver output used by the calibrated comparison.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/second_order_fraction.png
higher_order_fraction.png,transport diagnostic,supplement,Third-plus transport fraction in the solver output used by the calibrated comparison.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/higher_order_fraction.png
second_rr_fraction.png,transport diagnostic,supplement,Second-order Rayleigh-Rayleigh fraction.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/second_rr_fraction.png
second_ar_fraction.png,transport diagnostic,supplement,Second-order aerosol-Rayleigh fraction.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/second_ar_fraction.png
second_ra_fraction.png,transport diagnostic,supplement,Second-order Rayleigh-aerosol fraction.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/second_ra_fraction.png
second_aa_fraction.png,transport diagnostic,supplement,Second-order aerosol-aerosol fraction.,/work/vmo703/light-scattering/plots/current/measurement_cases/frozen_marseille_twilight_20220815_191413z_measurement__full_branchcap_robust_r2/second_aa_fraction.png
