index,zenith_deg,relative_azimuth_deg,absolute_azimuth_deg,reference_intensity,model_intensity,normalized_reference,normalized_model,reference_dop,model_dop,dop_abs_error,reference_aop_deg,model_aop_deg,aop_abs_error_deg,signed_dolp_bias,first_frac,second_frac,higher_frac,second_rr_frac,second_ar_frac,second_ra_frac,second_aa_frac,model_q,model_u,model_v,model_calibration_applied,model_calibration_intensity_gain,model_calibration_dolp_scale,model_calibration_aop_offset_deg,raw_model_intensity,raw_model_dop,raw_model_aop_deg,raw_model_q,raw_model_u,raw_model_v
0,3.085892,5.062779,301.047873,821.3333,821.3333,0.03543203283100085,0.03543203283100085,0.436059,0.436059,0.0,-9.96943,-9.969429999999997,1.7763568394002505e-15,0.0,0.39086616307,0.60777340262,0.0013604343037,0.62555490803,0.30540040602,0.052180583047,0.016864102904,336.6812244987809,-122.13523720865989,0.0,1.0,1990202673.433441,0.5216795043679601,86.52842231885684,4.1268827088e-07,0.835875276580602,83.50214768114316,-3.3612054107e-07,7.7573000344e-08,0.0
1,3.229108,14.703974,310.689068,789.3333,789.3333,0.03405156396337789,0.03405156396337789,0.430532,0.43053199999999997,5.551115123125783e-17,-22.988263,-22.988262999999996,3.552713678800501e-15,-5.551115123125783e-17,0.43145704945,0.56798179135,0.00056115919379,0.62743338085,0.2991265504,0.056568300357,0.016871768398,236.16814101424578,-244.3588408712515,0.0,1.0,2109715802.9214993,0.5201433213227327,62.57283405479768,3.7414200477e-07,0.8277180199202603,-85.56109705479768,-3.0597397747e-07,-4.7792824969e-08,0.0
2,3.597456,25.660826,321.64592,774.2222,774.2222,0.03339967636632985,0.03339967636632985,0.411761,0.411761,0.0,-28.238309,-28.238308999999994,7.105427357601002e-15,0.0,0.51410675036,0.48480412742,0.0010891222214,0.63859970642,0.27752623394,0.067605929344,0.016268130296,176.06295132152252,-265.7663918799872,0.0,1.0,2461395743.631205,0.5063470392572537,43.72426768995564,3.1454600586e-07,0.8131991856889312,-71.96257668995564,-2.0674070856e-07,-1.5061893877e-07,0.0
3,2.954261,34.6243,330.609394,749.6,749.6,0.032337483224067785,0.032337483224067785,0.499907,0.49990699999999993,5.551115123125783e-17,-37.136937,-37.136936999999996,7.105427357601002e-15,-5.551115123125783e-17,0.36675034034,0.62979549104,0.0034541686163,0.61094844428,0.3200367827,0.051479772466,0.017535000547,101.56666866539528,-360.70347927516343,0.0,1.0,1717086424.2914689,0.5991943178087396,29.741937835878858,4.3655344856e-07,0.8342986325841099,-66.87887483587886,-2.5189566463e-07,-2.6306240489e-07,0.0
4,3.207406,44.916314,340.901408,793.4545,793.4545,0.03422935109766688,0.03422935109766688,0.471051,0.47105100000000005,5.551115123125783e-17,-50.944548,-50.944548,0.0,5.551115123125783e-17,0.36555270232,0.63259017578,0.0018571219053,0.60648097398,0.32385196268,0.051894058203,0.017773005138,-77.0007653836867,-365.73976760469895,0.0,1.0,1813985799.3084948,0.5643296361934088,5.399402100888402,4.3740943303e-07,0.8347089534007035,-56.3439501008884,-1.4082685438e-07,-3.3685723271e-07,0.0
5,3.134536,54.912808,350.897902,778.6667,778.6667,0.03359141055014704,0.03359141055014704,0.513907,0.5139070000000001,1.1102230246251565e-16,-55.804022,-55.804022,0.0,1.1102230246251565e-16,0.33977158929,0.65981045727,0.00041795343684,0.59760316243,0.33500699254,0.049359828682,0.018030016343,-147.3617896857381,-372.0407820508046,0.0,1.0,1662868148.8566248,0.6100094782548899,-9.05882607354934,4.682672529e-07,0.8424574015967439,-46.74519592645066,-2.4017325266e-08,-3.9376343313e-07,0.0
6,3.199281,65.149525,1.134619,788.0,788.0,0.03399404586521534,0.03399404586521534,0.457628,0.457628,0.0,-67.669514,-67.669514,0.0,0.0,0.3357808198,0.65701839332,0.007200786878,0.59035756602,0.34252517031,0.048861153723,0.018256109951,-256.49473216720855,-253.47711455928015,0.0,1.0,1671395288.9923594,0.5432008661540215,-31.47963534059543,4.7146237948e-07,0.8424655196890687,-36.18987865940458,1.2023229028e-07,-3.7855610789e-07,0.0
7,2.876036,74.803392,10.788486,762.4,762.4,0.03288967077111697,0.03288967077111697,0.419278,0.41927800000000004,5.551115123125783e-17,-78.673141,-78.673141,0.0,5.551115123125783e-17,0.34338128659,0.65614883136,0.00046988204565,0.60551901532,0.32629733492,0.050338528257,0.017845121506,-294.9958117720141,-123.11952939680471,0.0,1.0,1664179507.5003579,0.493784292106642,-52.471679883421174,4.5812365587e-07,0.849111660096002,-26.201461116578823,2.3732961338e-07,-3.0821130082e-07,0.0
8,3.486702,84.718292,20.703386,798.4,798.4,0.034442698247192795,0.034442698247192795,0.412604,0.412604,0.0,-84.509487,-84.509487,0.0,0.0,0.33508369638,0.65975593444,0.005160369185,0.59378937905,0.33717958178,0.050061182975,0.018969856187,-323.39140251034996,-62.749787638011405,0.0,1.0,1708606276.658022,0.4846131661733663,-68.5025085820991,4.6728143921e-07,0.8514089768918791,-16.0069784179009,3.3734254402e-07,-2.1090929432e-07,0.0
9,2.917642,94.438169,30.423263,751.2,751.2,0.03240650666744894,0.03240650666744894,0.498108,0.4981079999999999,1.1102230246251565e-16,84.053738,84.053738,0.0,-1.1102230246251565e-16,0.31848167461,0.67963733553,0.0018809898579,0.58040790801,0.345585196,0.051564524736,0.022442371251,-366.1473133677087,77.10944558663883,0.0,1.0,1536159575.8719654,0.5821382327653947,-89.37315897272079,4.8901169631e-07,0.8556524412316698,-6.573103027279216,4.0745835744e-07,-9.516498319e-08,0.0
